Zeit [s],Q_uphole [lpm],Q_downhole [lpm],Pint_uphole [MPa],Pint_downhole [MPa],Ppacker_uphole [MPa],Pi_obs [MPa]
0.209,0.006731,9.541566,-0.027223,0.080524,0.000746,0.03718
0.409,0.006731,9.563387,-0.027995,0.08091,0.000746,0.037142
0.609,0.006731,9.620351,-0.027995,0.08091,0.001518,0.037142
0.809,0.006731,9.541759,-0.027223,0.082455,-0.000027,0.03718
1.009,0.006731,9.526698,-0.027995,0.082068,0.000746,0.037142
1.209,0.006731,9.541373,-0.027223,0.083613,0.000746,0.037142
1.409,0.006731,9.542146,-0.019501,0.080524,0.000746,0.037142
1.609,0.006538,9.614558,-0.027995,0.081682,0.000746,0.03718
1.809,0.006538,9.633482,-0.027223,0.080524,0.000746,0.037142
2.009,0.006731,9.52496,-0.027223,0.083613,0.000746,0.037142
2.209,0.006538,9.540987,-0.027995,0.081682,0.001518,0.037103
2.409,0.006538,9.542146,-0.028767,0.082455,-0.000027,0.03718
2.609,0.006538,9.536739,-0.027995,0.082068,0.000746,0.03718
2.809,0.006731,9.541566,-0.027223,0.083227,0.00229,0.037103
3.009,0.006538,9.561842,-0.027223,0.080138,-0.000027,0.037103
3.209,0.006538,9.634834,-0.027995,0.083227,-0.000027,0.03718
3.409,0.006538,9.63522,-0.024134,0.081296,0.000746,0.037142
3.609,0.006538,9.562614,-0.027995,0.082841,0.000746,0.037142
3.809,0.006538,9.544077,-0.027223,0.081682,0.000746,0.03718
4.009,0.006538,9.542339,-0.027995,0.081682,0.001518,0.037103
4.209,0.006538,9.540022,-0.027995,0.082068,-0.000027,0.037142
4.409,0.006538,9.542146,-0.037262,0.081682,0.00229,0.037103
4.609,0.006538,9.531911,-0.027995,0.082455,0.000746,0.03718
4.809,0.006538,9.541566,-0.027995,0.083227,0.001518,0.037142
5.009,0.006538,9.585593,-0.027995,0.082455,0.000746,0.03718
5.209,0.006538,9.539056,-0.027223,0.083613,0.00229,0.037064
5.409,0.006345,9.541953,-0.02954,0.082068,0.001518,0.037142
5.609,0.006538,9.529787,-0.027223,0.079752,0.001518,0.037103
5.809,0.006345,9.541373,-0.027223,0.080138,0.000746,0.037103
6.009,0.006345,9.556628,-0.027223,0.081682,0.00229,0.037103
6.209,0.006345,9.538477,-0.027995,0.082068,0.000746,0.037103
6.409,0.006345,9.541759,-0.027223,0.08091,0.001518,0.037142
6.609,0.006345,9.527277,-0.027995,0.081682,0.001518,0.037142
6.809,0.006345,9.54118,-0.027223,0.082068,0.000746,0.037142
7.009,0.006345,9.542146,-0.017956,0.081682,0.00229,0.037142
7.209,0.006345,9.554504,-0.027995,0.08091,0.001518,0.037142
7.409,0.006345,9.543304,-0.027223,0.081296,0.00229,0.037142
7.609,0.006345,9.538284,-0.027995,0.082841,0.000746,0.037103
7.809,0.006345,9.629813,-0.027223,0.082068,0.003835,0.037103
8.009,0.006152,9.636378,-0.039579,0.081296,0.003062,0.037026
8.209,0.006345,9.53616,-0.027223,0.081682,0.001518,0.037142
8.409,0.006152,9.635992,-0.027995,0.082841,0.00229,0.037103
8.609,0.006345,9.578255,-0.027995,0.08091,0.00229,0.03718
8.809,0.006345,9.547553,-0.027223,0.082068,0.00229,0.037142
9.009,0.006152,9.542146,-0.026451,0.082841,0.003062,0.037142
9.209,0.006152,9.458533,-0.027995,0.081682,0.003062,0.037142
9.409,0.006345,9.541759,-0.027223,0.081296,0.00229,0.037142
9.609,0.006152,9.539056,-0.027995,0.082455,0.00229,0.037103
9.809,0.006152,9.625758,-0.027223,0.081682,0.001518,0.03718
10.009,0.006152,9.541953,-0.034945,0.082841,0.001518,0.037142
10.209,0.006152,9.533263,-0.027223,0.080524,0.003062,0.037142
10.409,0.006152,9.541759,-0.027995,0.082841,0.003062,0.037103
10.609,0.006152,9.582697,-0.027995,0.082068,0.003835,0.037064
10.809,0.006152,9.539635,-0.027223,0.083227,0.003835,0.037142
11.009,0.006152,9.542146,-0.031084,0.082068,0.003062,0.03718
11.209,0.006152,9.52998,-0.027223,0.08091,0.003062,0.037103
11.409,0.006152,9.544656,-0.027223,0.08091,0.003062,0.037142
11.609,0.006152,9.561263,-0.027995,0.080138,0.003835,0.037142
11.809,0.005959,9.53867,-0.027223,0.083227,0.003062,0.037103
12.009,0.006152,9.542146,-0.027223,0.081682,0.003062,0.037142
12.209,0.005959,9.52747,-0.027223,0.08091,0.003062,0.037064
12.409,0.006152,9.54118,-0.027223,0.081296,0.00229,0.037064
12.609,0.006152,9.542339,-0.024134,0.081296,0.003835,0.037103
12.809,0.005959,9.537897,-0.027995,0.080524,0.00229,0.037219
13.009,0.005959,9.634834,-0.027223,0.077821,0.003835,0.037064
13.209,0.005959,9.55547,-0.027223,0.078593,0.003835,0.037142
13.409,0.005959,9.63522,-0.027995,0.079752,0.003835,0.03718
13.609,0.005959,9.542339,-0.038806,0.081682,0.003835,0.037064
13.809,0.005959,9.556628,-0.027223,0.082841,0.003835,0.037064
14.009,0.005959,9.541953,-0.028767,0.082841,0.003062,0.037026
14.209,0.005959,9.577869,-0.027995,0.080138,0.003835,0.037142
14.409,0.005959,9.540601,-0.027223,0.081682,0.003062,0.037103
14.609,0.005959,9.552959,-0.027995,0.081296,0.004607,0.037064
14.809,0.005959,9.535001,-0.027223,0.08091,0.005379,0.037142
15.009,0.005959,9.541759,-0.027995,0.082841,0.004607,0.037026
15.209,0.005766,9.542725,-0.027223,0.081296,0.004607,0.037103
15.409,0.005959,9.540022,-0.027223,0.080524,0.004607,0.037103
15.609,0.005959,9.542146,-0.016412,0.082455,0.005379,0.037064
15.809,0.005959,9.533649,-0.027995,0.082841,0.004607,0.037064
16.009,0.005959,9.633096,-0.027223,0.082068,0.003835,0.037064
16.209,0.005959,9.541566,-0.027995,0.080524,0.004607,0.037064
16.409,0.005959,9.539635,-0.027223,0.081682,0.006151,0.037064
16.609,0.005959,9.635413,-0.032629,0.079752,0.006151,0.037064
16.809,0.005766,9.625565,-0.027995,0.081682,0.004607,0.037064
17.009,0.005959,9.635606,-0.027223,0.082841,0.006151,0.037064
17.209,0.005959,9.658971,-0.027995,0.081682,0.006151,0.037142
17.409,0.005959,9.539056,-0.027223,0.082841,0.003835,0.037064
17.609,0.005766,9.542146,-0.025679,0.082841,0.003835,0.037064
17.809,0.005959,9.527663,-0.027223,0.081682,0.004607,0.037064
18.009,0.005766,9.541373,-0.027223,0.080524,0.003835,0.037026
18.209,0.005766,9.535967,-0.025679,0.080524,0.005379,0.037103
18.409,0.005766,9.537897,-0.027223,0.082068,0.005379,0.037142
18.609,0.005766,9.636185,-0.018728,0.079366,0.005379,0.037064
18.809,0.005766,9.618806,-0.027995,0.082068,0.004607,0.037064
19.009,0.005766,9.540987,-0.027995,0.080138,0.006923,0.037103
19.209,0.005766,9.642171,-0.018728,0.079752,0.006151,0.037026
19.409,0.005766,9.537125,-0.027223,0.081296,0.006923,0.036987
19.609,0.005766,9.541759,-0.030312,0.081296,0.005379,0.037103
19.809,0.005766,9.613207,-0.027223,0.081296,0.004607,0.036987
20.009,0.005766,9.540794,-0.027223,0.080138,0.006923,0.037064
20.209,0.005766,9.556821,-0.02954,0.080524,0.006151,0.036987
20.409,0.005766,9.535967,-0.027223,0.080138,0.006151,0.037026
20.609,0.005766,9.541953,-0.027223,0.081682,0.004607,0.037026
20.809,0.005766,9.546587,-0.027995,0.078593,0.005379,0.037103
21.009,0.005766,9.634254,-0.027995,0.081682,0.006923,0.037064
21.209,0.005766,9.542146,-0.016412,0.079366,0.005379,0.037064
21.409,0.005573,9.626724,-0.027995,0.08091,0.007696,0.036987
21.609,0.005766,9.633096,-0.027223,0.079366,0.006923,0.037103
21.809,0.005766,9.629041,-0.027223,0.080524,0.006923,0.037026
22.009,0.005766,9.633482,-0.027995,0.079366,0.006923,0.036987
22.209,0.005766,9.542146,-0.038034,0.080524,0.006151,0.037026
22.409,0.005573,9.53056,-0.027223,0.082455,0.007696,0.036987
22.609,0.005573,9.541373,-0.025679,0.083227,0.006923,0.036987
22.809,0.005573,9.578062,-0.02259,0.081296,0.007696,0.037026
23.009,0.005573,9.53867,-0.024906,0.081682,0.004607,0.037026
23.209,0.005573,9.542146,-0.016412,0.081682,0.007696,0.037026
23.409,0.005766,9.528436,-0.027223,0.080524,0.006151,0.037026
23.609,0.005573,9.54118,-0.024906,0.078979,0.007696,0.036987
23.809,0.005573,9.533649,-0.017184,0.080524,0.006923,0.036987
24.009,0.005573,9.538091,-0.024134,0.081296,0.006923,0.036987
24.209,0.315112,9.541953,-0.031084,0.08091,0.030863,0.037026
24.409,1.249523,9.526698,-0.024906,0.08091,0.02314,0.036987
24.609,1.663722,9.540987,-0.024906,0.08091,0.032407,0.037064
24.809,1.701377,9.578642,-0.025679,0.08091,0.034724,0.037064
25.009,1.661984,9.536546,-0.024906,0.079752,0.037813,0.036987
25.209,1.553848,9.541953,-0.030312,0.078207,0.040129,0.037026
25.409,1.317301,9.530174,-0.024134,0.079366,0.04399,0.037026
25.609,1.392803,9.540601,-0.024134,0.080138,0.047079,0.037026
25.809,1.288529,9.564545,-0.024906,0.081682,0.050168,0.036987
26.009,1.179041,9.53558,-0.026451,0.081296,0.052485,0.037064
26.209,1.085774,9.635992,-0.024134,0.080524,0.054029,0.037064
26.409,0.937666,9.527856,-0.024906,0.082068,0.057891,0.037026
26.609,0.77469,9.634254,-0.025679,0.080138,0.060207,0.037026
26.809,0.665782,9.542918,-0.014095,0.080138,0.06098,0.037064
27.009,0.597038,9.533842,-0.024906,0.08091,0.062524,0.037026
27.209,0.443137,9.541566,-0.024906,0.079752,0.06098,0.037026
27.409,0.522888,9.530946,-0.024134,0.082841,0.062524,0.036987
27.609,0.461289,9.539635,-0.024906,0.082068,0.062524,0.036987
27.809,0.429427,9.542146,-0.034945,0.082455,0.063296,0.036987
28.009,0.250423,9.530946,-0.024906,0.081296,0.065613,0.037026
28.209,0.273982,9.544463,-0.025679,0.083227,0.065613,0.036948
28.409,0.003642,9.592352,-0.025679,0.080524,0.066385,0.036987
28.609,0.004028,9.538863,-0.024906,0.081296,0.065613,0.036948
28.809,0.003835,9.542146,-0.027223,0.080524,0.066385,0.037026
29.009,0.003835,9.535194,-0.025679,0.080138,0.06793,0.037026
29.209,0.003835,9.631165,-0.025679,0.078979,0.066385,0.036987
29.409,0.003835,9.546201,-0.025679,0.082068,0.068702,0.036987
29.609,0.003835,9.538091,-0.025679,0.082068,0.067157,0.037026
29.809,0.003835,9.542146,-0.027995,0.081682,0.06793,0.036987
30.009,0.003642,9.565125,-0.025679,0.079752,0.066385,0.036987
30.209,0.003835,9.54118,-0.024906,0.08091,0.066385,0.037026
30.409,0.003835,9.573042,-0.026451,0.082068,0.066385,0.036987
30.609,0.003835,9.537318,-0.025679,0.082455,0.066385,0.036987
30.809,0.003835,9.541953,-0.031856,0.082455,0.064068,0.036987
31.009,0.003835,9.53056,-0.024906,0.081296,0.065613,0.036987
31.209,0.003835,9.546587,-0.024906,0.080138,0.065613,0.036987
31.409,0.003642,9.570918,-0.025679,0.081682,0.064841,0.036948
31.609,0.003642,9.53558,-0.025679,0.081682,0.066385,0.036987
31.809,0.003642,9.543884,-0.025679,0.083227,0.066385,0.036987
32.009,0.003642,9.5798,-0.024906,0.081296,0.065613,0.036987
32.209,0.003642,9.540408,-0.024906,0.081296,0.066385,0.037026
32.409,0.003642,9.636572,-0.023362,0.080524,0.066385,0.036987
32.609,0.003642,9.616103,-0.024906,0.079366,0.066385,0.036987
32.809,0.003642,9.541759,-0.024906,0.077049,0.06793,0.03691
33.009,0.003642,9.525346,-0.024906,0.080524,0.067157,0.03691
33.209,0.003642,9.539829,-0.024906,0.078979,0.067157,0.036948
33.409,0.003642,9.542146,-0.033401,0.079366,0.06793,0.036987
33.609,0.003642,9.537318,-0.025679,0.078979,0.06793,0.036948
33.809,0.003642,9.541566,-0.024906,0.081682,0.067157,0.037026
34.009,0.003642,9.5742,-0.025679,0.080138,0.068702,0.036948
34.209,0.003642,9.539442,-0.025679,0.080138,0.068702,0.036948
