Zeit [s],Q_downhole [lpm]_s,Pint_downhole [MPa]
1750.009,0.00299879,0.086316
1750.209,0.002998885,0.085158
1750.409,0.002997542,0.085158
1750.609,0.002998213,0.085158
1750.809,0.002994704,0.083999
1751.009,0.002997004,0.087474
1751.209,0.002989922,0.085158
1751.409,0.002995272,0.08593
1751.609,0.002983035,0.086316
1751.809,0.00299282,0.086702
1752.009,0.002974143,0.084385
1752.209,0.002989321,0.085544
1752.409,0.002963609,0.086316
1752.609,0.002984402,0.086316
1752.809,0.002951981,0.085544
1753.009,0.0029778,0.087474
1753.209,0.002939915,0.087474
1753.409,0.002969435,0.085158
1753.609,0.002928104,0.088633
1753.809,0.002959465,0.087088
1754.009,0.002917071,0.087474
1754.209,0.002948299,0.087088
1754.409,0.002907264,0.08593
1754.609,0.002936551,0.087474
1754.809,0.002898898,0.086702
1755.009,0.002924885,0.086316
1755.209,0.00289204,0.086702
1755.409,0.002913939,0.088247
1755.609,0.002886565,0.086702
1755.809,0.002904195,0.08786
1756.009,0.002882255,0.086702
1756.209,0.002895915,0.085158
1756.409,0.002878824,0.086702
1756.609,0.002889109,0.08786
1756.809,0.002875935,0.088633
1757.009,0.0028836,0.087474
1757.209,0.002873311,0.087088
1757.409,0.002879127,0.087088
1757.609,0.002870739,0.08593
1757.809,0.002875409,0.087088
1758.009,0.002868102,0.087088
1758.209,0.002872243,0.088247
1758.409,0.002865381,0.088247
1758.609,0.002869531,0.089405
1758.809,0.002862634,0.08786
1759.009,0.002867249,0.087474
1759.209,0.002859944,0.08786
1759.409,0.002865363,0.08786
1759.609,0.002857341,0.087474
1759.809,0.00286377,0.087474
1760.009,0.00285475,0.086702
1760.209,0.002862244,0.086702
1760.409,0.002851963,0.085158
1760.609,0.002860442,0.086316
1760.809,0.002848666,0.086702
1761.009,0.002857945,0.086316
1761.209,0.002844508,0.083613
1761.409,0.002854366,0.087474
1761.609,0.002839187,0.08786
1761.809,0.002849386,0.088247
1762.009,0.002832519,0.08593
1762.209,0.002842859,0.088247
1762.409,0.002824474,0.08786
1762.609,0.002834749,0.086702
1762.809,0.002815136,0.087088
1763.009,0.002825123,0.086316
1763.209,0.002804646,0.086702
1763.409,0.002814054,0.087474
1763.609,0.002793126,0.086702
1763.809,0.002801636,0.087088
1764.009,0.002780713,0.087474
1764.209,0.002787946,0.087088
1764.409,0.002767571,0.086702
1764.609,0.002773095,0.087088
1764.809,0.002753965,0.087088
1765.009,0.002757315,0.086702
1765.209,0.00274032,0.088633
1765.409,0.002741027,0.086702
1765.609,0.002727226,0.088247
1765.809,0.002724852,0.089791
1766.009,0.00271535,0.088633
1766.209,0.002709557,0.089791
1766.409,0.002705319,0.089019
1766.609,0.002695933,0.08786
1766.809,0.002697547,0.08593
1767.009,0.002684671,0.086702
1767.209,0.002692094,0.084771
1767.409,0.002676222,0.086316
1767.609,0.002688681,0.086702
1767.809,0.002670694,0.085158
1768.009,0.002686801,0.086702
1768.209,0.002667879,0.084771
1768.409,0.002685869,0.085158
1768.609,0.002667343,0.085158
1768.809,0.002685394,0.08786
1769.009,0.002668554,0.085544
1769.209,0.002685161,0.085544
1769.409,0.002671141,0.085158
1769.609,0.002685332,0.084771
1769.809,0.002674973,0.084771
1770.009,0.002686449,0.085158
1770.209,0.002680299,0.085544
1770.409,0.002689436,0.086316
1770.609,0.002687805,0.085158
1770.809,0.002695533,0.084771
1771.009,0.002698557,0.084771
1771.209,0.002706166,0.084771
1771.409,0.002713849,0.086316
1771.609,0.002722738,0.083999
1771.809,0.002734969,0.084385
1772.009,0.002746376,0.083999
1772.209,0.002762861,0.08593
1772.409,0.002777591,0.083613
1772.609,0.002797778,0.085158
1772.809,0.002815989,0.084385
1773.009,0.002838961,0.084771
1773.209,0.002860062,0.084385
1773.409,0.002884521,0.08593
1773.609,0.002907193,0.085544
1773.809,0.00293154,0.084771
1774.009,0.002953923,0.087088
1774.209,0.002976453,0.087088
1774.409,0.002996388,0.090177
1774.609,0.003015601,0.098286
1774.809,0.003030933,0.102147
1775.009,0.003045915,0.105236
1775.209,0.00305483,0.10987
1775.409,0.003065529,0.113731
1775.609,0.003066656,0.117592
1775.809,0.00307399,0.12184
1776.009,0.003066501,0.124929
1776.209,0.003072323,0.129562
1776.409,0.003055915,0.130721
1776.609,0.003062921,0.133424
1776.809,0.003037832,0.138057
1777.009,0.003049459,0.141146
1777.209,0.003016646,0.141146
1777.409,0.003037331,0.14076
1777.609,0.002999111,0.146938
1777.809,0.003034912,0.147711
1778.009,0.002996152,0.147324
1778.209,0.00305659,0.151958
1778.409,0.003026987,0.154661
1778.609,0.003127733,0.156592
1778.809,0.003125798,0.160453
1779.009,0.003292323,0.159681
1779.209,0.003351484,0.16277
1779.409,0.003623679,0.165859
1779.609,0.003799356,0.167789
1779.809,0.004236828,0.169334
1780.009,0.004614301,0.168562
1780.209,0.005302481,0.170106
1780.409,0.006000927,0.173967
1780.609,0.007056434,0.176284
1780.809,0.008228256,0.178215
1781.009,0.009805792,0.175898
1781.209,0.011635658,0.178215
1781.409,0.013930255,0.180532
1781.609,0.016627651,0.182848
1781.809,0.019873299,0.185551
1782.009,0.023681811,0.185937
1782.209,0.028165162,0.186324
1782.409,0.033376128,0.216442
1782.609,0.039421552,0.221848
1782.809,0.046430238,0.242312
1783.009,0.054567678,0.253896
1783.209,0.064208278,0.267025
1783.409,0.075691487,0.277064
1783.609,0.089830632,0.280925
1783.809,0.108346273,0.308341
1784.009,0.13021517,0.305252
1784.209,0.145322858,0.332667
1784.409,0.167639592,0.329964
1784.609,0.181177193,0.354676
1784.809,0.204368356,0.351587
1785.009,0.217470573,0.370894
1785.209,0.370833218,0.385953
1785.409,0.394953009,0.412596
1785.609,0.411648357,0.436922
1785.809,0.425472485,0.457773
1786.009,0.441638629,0.47901
1786.209,0.45306387,0.497158
1786.409,0.462114401,0.497544
1786.609,0.46987454,0.509128
1786.809,0.477769537,0.516851
1787.009,0.486340495,0.529979
1787.209,0.494199397,0.546197
1787.409,0.501866374,0.559711
1787.609,0.50893307,0.575156
1787.809,0.514621625,0.575543
1788.009,0.519469557,0.596008
1788.209,0.523654023,0.607978
1788.409,0.527240638,0.626126
1788.609,0.530227319,0.635393
1788.809,0.53291929,0.641571
1789.009,0.535261188,0.636551
1789.209,0.537196071,0.641957
1789.409,0.538965709,0.655472
1789.609,0.540444774,0.675164
1789.809,0.541865258,0.690609
1790.009,0.542196537,0.696787
1790.209,0.54370446,0.701035
1790.409,0.543163618,0.698332
1790.609,0.544545957,0.708757
1790.809,0.544342086,0.720341
1791.009,0.545282178,0.729608
1791.209,0.545799399,0.731153
1791.409,0.54648389,0.733084
1791.609,0.547146477,0.739648
1791.809,0.547858304,0.755865
1792.009,0.548749772,0.751232
1792.209,0.549537225,0.765132
1792.409,0.550760834,0.774786
1792.609,0.551283411,0.780578
1792.809,0.552939994,0.779805
1793.009,0.552813173,0.788686
1793.209,0.554628145,0.803745
1793.409,0.554730304,0.798726
1793.609,0.556057021,0.80027
1793.809,0.556792549,0.806062
1794.009,0.557549858,0.811082
1794.209,0.558706444,0.821507
1794.409,0.558281151,0.831933
1794.609,0.560187723,0.831547
1794.809,0.558047059,0.835022
1795.009,0.560373241,0.8412
1795.209,0.55769563,0.843131
1795.409,0.559738769,0.855873
1795.609,0.557184717,0.865526
1795.809,0.557845639,0.866685
1796.009,0.555933897,0.859348
1796.209,0.555267919,0.858962
1796.409,0.553545614,0.865912
1796.609,0.553092923,0.880199
1796.809,0.551365725,0.904139
1797.009,0.550462832,0.894486
1797.209,0.548946066,0.89912
1797.409,0.54790188,0.90105
1797.609,0.5466358,0.897575
1797.809,0.545581933,0.904912
1798.009,0.544743148,0.920357
1798.209,0.543630008,0.911862
1798.409,0.543242018,0.919584
1798.609,0.541952259,0.921901
1798.809,0.542302185,0.928852
1799.009,0.540290305,0.93696
1799.209,0.542392312,0.943525
1799.409,0.539869684,0.945841
1799.609,0.543294224,0.95395
1799.809,0.539781241,0.95395
1800.009,0.543951312,0.966306
1800.209,0.540026492,0.958584
1800.409,0.54427608,0.957039
1800.609,0.540301865,0.962831
1800.809,0.545072638,0.963217
1801.009,0.542160438,0.975959
1801.209,0.547534855,0.980207
1801.409,0.542922754,0.985999
1801.609,0.549224405,0.974801
1801.809,0.543337859,0.984068
1802.009,0.550291022,0.983682
1802.209,0.544232011,0.998741
1802.409,0.551285385,0.999513
1802.609,0.54557237,1.00685
1802.809,0.552212252,1.007236
1803.009,0.546656116,1.002989
1803.209,0.553046083,1.005691
1803.409,0.549120899,1.01882
1803.609,0.554931688,1.03079
1803.809,0.550744266,1.032334
1804.009,0.556184101,1.03581
1804.209,0.550724702,1.027701
1804.409,0.555667648,1.031176
1804.609,0.550430003,1.031948
1804.809,0.555512437,1.041602
1805.009,0.551274747,1.041602
1805.209,0.555676144,1.046621
1805.409,0.551605527,1.051641
1805.609,0.55527185,1.04971
1805.809,0.552041713,1.051641
1806.009,0.554477082,1.058977
1806.209,0.55222062,1.062839
1806.409,0.553223167,1.062453
1806.609,0.552030234,1.068631
1806.809,0.552195572,1.072106
1807.009,0.551710015,1.074423
1807.209,0.551720971,1.068631
1807.409,0.551449902,1.076739
1807.609,0.551722276,1.076353
1807.809,0.551541025,1.085234
1808.009,0.552190016,1.096046
1808.209,0.551796522,1.104927
1808.409,0.552950261,1.100293
1808.609,0.552285006,1.086779
1808.809,0.553952941,1.101838
1809.009,0.553152536,1.101838
1809.209,0.555221153,1.114194
1809.409,0.554176297,1.112263
1809.609,0.556624143,1.109174
1809.809,0.555251265,1.10956
1810.009,0.55775711,1.106857
1810.209,0.556678183,1.113422
1810.409,0.559428691,1.117669
1810.609,0.557866559,1.131184
1810.809,0.560839495,1.128481
1811.009,0.558535326,1.131956
1811.209,0.561550784,1.122303
1811.409,0.559083054,1.132342
1811.609,0.562137947,1.139679
1811.809,0.56000262,1.134273
1812.009,0.562380689,1.140837
1812.209,0.559884728,1.140065
1812.409,0.561167826,1.14547
1812.609,0.558866862,1.140451
1812.809,0.559461465,1.160916
1813.009,0.557368142,1.160143
1813.209,0.557596766,1.163619
1813.409,0.555365521,1.154351
1813.609,0.555707462,1.162074
1813.809,0.552876041,1.166708
1814.009,0.554042016,1.164391
1814.209,0.551082704,1.164777
1814.409,0.552391475,1.168252
1814.609,0.549719268,1.174816
1814.809,0.549568228,1.183311
1815.009,0.547806571,1.175975
1815.209,0.546797864,1.181381
1815.409,0.545310684,1.174816
1815.609,0.544135244,1.182539
1815.809,0.542958655,1.184856
1816.009,0.542203608,1.195281
1816.209,0.541233011,1.194123
1816.409,0.540635508,1.194509
1816.609,0.539999371,1.181381
1816.809,0.53934946,1.185242
1817.009,0.539431057,1.195281
1817.209,0.538414827,1.197598
1817.409,0.539430953,1.21536
1817.609,0.537880614,1.21034
1817.809,0.539577643,1.209568
1818.009,0.537369604,1.202232
1818.209,0.54005867,1.21034
1818.409,0.537798937,1.21536
1818.609,0.541282889,1.219994
1818.809,0.538552016,1.217677
1819.009,0.541989167,1.218835
1819.209,0.539236536,1.221152
1819.409,0.542479623,1.214974
1819.609,0.541044881,1.223855
1819.809,0.543968712,1.231191
1820.009,0.543010191,1.234667
1820.209,0.545359821,1.235825
1820.409,0.545082392,1.236211
1820.609,0.546665881,1.238142
1820.809,0.547469121,1.235439
1821.009,0.548427314,1.236983
1821.209,0.549743975,1.233122
1821.409,0.549538252,1.242775
1821.609,0.551820407,1.247023
1821.809,0.549903435,1.250112
1822.009,0.552939623,1.261696
1822.209,0.549658303,1.258993
1822.409,0.553268744,1.253587
1822.609,0.549659762,1.255904
1822.809,0.552836835,1.262468
1823.009,0.54913491,1.265943
1823.209,0.551569314,1.251656
1823.409,0.548615261,1.254359
1823.609,0.55032706,1.255131
1823.809,0.54826748,1.276369
1824.009,0.548782221,1.266329
1824.209,0.547921075,1.28023
1824.409,0.547370711,1.282933
1824.609,0.547643788,1.274438
1824.809,0.546072167,1.277527
1825.009,0.547995498,1.279071
1825.209,0.545458554,1.286408
1825.409,0.548176572,1.286794
1825.609,0.544821358,1.286022
1825.809,0.5478157,1.278685
1826.009,0.543564828,1.279458
1826.209,0.546941842,1.281774
1826.409,0.542958226,1.292972
1826.609,0.547169372,1.303398
1826.809,0.542640626,1.29722
1827.009,0.546290053,1.301467
1827.209,0.541902315,1.29915
1827.409,0.545967184,1.293744
1827.609,0.542951136,1.302625
1827.809,0.547892577,1.301467
1828.009,0.54363134,1.304556
1828.209,0.548938374,1.303784
1828.409,0.543139225,1.310734
1828.609,0.548675017,1.309576
1828.809,0.542291844,1.312279
1829.009,0.548844521,1.314982
1829.209,0.54304951,1.316912
1829.409,0.55017264,1.325021
1829.609,0.544462908,1.32116
1829.809,0.551741033,1.326179
1830.009,0.545379738,1.314982
1830.209,0.552613082,1.317684
1830.409,0.545747469,1.332744
1830.609,0.552116026,1.313823
1830.809,0.545713271,1.331585
1831.009,0.55116568,1.333902
1831.209,0.545123163,1.337377
1831.409,0.550247042,1.331199
1831.609,0.545342209,1.340466
1831.809,0.550327987,1.330813
1832.009,0.546323901,1.342397
1832.209,0.550145244,1.3451
1832.409,0.54685188,1.342011
1832.609,0.550053094,1.334674
1832.809,0.547959452,1.330813
1833.009,0.550464992,1.344714
1833.209,0.548824517,1.356684
1833.409,0.550845051,1.34703
1833.609,0.549361051,1.354753
1833.809,0.550799573,1.356684
1834.009,0.549390659,1.349347
1834.209,0.550492406,1.353595
1834.409,0.549514288,1.362862
1834.609,0.550119258,1.362476
1834.809,0.549556053,1.355139
1835.009,0.549310596,1.359387
1835.209,0.549308513,1.360545
1835.409,0.548195168,1.353208
1835.609,0.548947181,1.366337
1835.809,0.547007494,1.367495
1836.009,0.548321468,1.37599
1836.209,0.545801504,1.372901
1836.409,0.547236418,1.373673
1836.609,0.544407278,1.365178
1836.809,0.546139834,1.369426
1837.009,0.543436779,1.372129
1837.209,0.544828046,1.367495
1837.409,0.542264467,1.377921
1837.609,0.543679244,1.382168
1837.809,0.541336028,1.385257
1838.009,0.543330164,1.390277
1838.209,0.541676149,1.388346
1838.409,0.543956984,1.386802
1838.609,0.543292842,1.388732
1838.809,0.545286414,1.394138
1839.009,0.545261606,1.395297
1839.209,0.547123455,1.384485
1839.409,0.547423043,1.384871
1839.609,0.549325519,1.385643
1839.809,0.549580042,1.397613
1840.009,0.552068894,1.393752
1840.209,0.551127425,1.407267
1840.409,0.554359852,1.406494
1840.609,0.552429188,1.402633
1840.809,0.555680532,1.403019
1841.009,0.554300124,1.403791
1841.209,0.557149999,1.408039
1841.409,0.555734,1.4119
1841.609,0.558298186,1.407267
1841.809,0.556654523,1.410356
1842.009,0.558661361,1.401475
1842.209,0.55709616,1.407267
1842.409,0.558800694,1.427345
1842.609,0.557452591,1.410742
1842.809,0.558436672,1.420781
1843.009,0.557188647,1.424642
1843.209,0.557693693,1.417306
1843.409,0.556458001,1.416534
1843.609,0.556933476,1.426187
1843.809,0.555704472,1.42194
1844.009,0.555701245,1.426187
1844.209,0.554570528,1.426573
1844.409,0.554060493,1.426187
1844.609,0.552761625,1.424642
1844.809,0.552474992,1.431207
1845.009,0.550842508,1.433137
1845.209,0.550531022,1.443177
1845.409,0.548846384,1.439315
1845.609,0.547956378,1.439315
1845.809,0.546201538,1.442404
1846.009,0.545201693,1.433137
1846.209,0.543590429,1.432751
1846.409,0.542491145,1.431207
1846.609,0.540760684,1.440474
1846.809,0.539173955,1.44781
1847.009,0.537552447,1.441246
1847.209,0.536000858,1.446652
1847.409,0.534513502,1.44781
1847.609,0.533577721,1.449355
1847.809,0.532434461,1.447038
1848.009,0.532042811,1.454761
1848.209,0.531047151,1.451285
1848.409,0.531340215,1.438157
1848.609,0.530552137,1.443177
1848.809,0.531523939,1.441632
1849.009,0.530991022,1.453988
1849.209,0.532562724,1.456691
1849.409,0.531944398,1.467889
1849.609,0.533817694,1.462097
1849.809,0.533796964,1.459394
1850.009,0.535409611,1.464028
1850.209,0.53636145,1.459008
1850.409,0.537787661,1.465958
1850.609,0.539109618,1.470978
1850.809,0.540263068,1.467117
1851.009,0.54116639,1.468275
1851.209,0.541967492,1.45785
1851.409,0.542547813,1.470592
1851.609,0.543028999,1.480631
1851.809,0.543162735,1.46982
1852.009,0.543354291,1.478315
1852.209,0.543072034,1.480245
1852.409,0.543151823,1.474453
1852.609,0.542089409,1.473681
1852.809,0.542967497,1.481404
1853.009,0.541182755,1.475612
1853.209,0.542658968,1.48179
1853.409,0.540108599,1.48372
1853.609,0.541782203,1.483334
1853.809,0.5387389,1.476384
1854.009,0.541156242,1.484107
1854.209,0.537700261,1.487582
1854.409,0.540836322,1.48874
1854.609,0.537072145,1.491443
1854.809,0.540865909,1.490285
1855.009,0.537365584,1.496077
1855.209,0.541622142,1.481017
1855.409,0.539064524,1.486809
1855.609,0.544328457,1.485651
1855.809,0.539464,1.496463
1856.009,0.545650437,1.503413
1856.209,0.539081194,1.496849
1856.409,0.546026135,1.502641
1856.609,0.538739384,1.492215
1856.809,0.546644177,1.503799
1857.009,0.54006199,1.503027
1857.209,0.547891824,1.502255
1857.409,0.540516518,1.503027
1857.609,0.547077897,1.502255
1857.809,0.539827382,1.496077
1858.009,0.544893193,1.502641
1858.209,0.539351763,1.501482
1858.409,0.542685892,1.516155
1858.609,0.538383363,1.513452
1858.809,0.540119339,1.51268
1859.009,0.536656638,1.512294
1859.209,0.538752709,1.515769
1859.409,0.535608787,1.508819
1859.609,0.538694219,1.513452
1859.809,0.535947333,1.516155
1860.009,0.539305742,1.514997
1860.209,0.53677754,1.516541
1860.409,0.539987678,1.514611
1860.609,0.537615055,1.516155
1860.809,0.540804805,1.512294
1861.009,0.538606822,1.520017
1861.209,0.541105541,1.526967
1861.409,0.539396242,1.526967
1861.609,0.541177087,1.521175
1861.809,0.540416389,1.527739
1862.009,0.541241758,1.528511
1862.209,0.541735359,1.52272
1862.409,0.541344324,1.537392
1862.609,0.54296719,1.52967
1862.809,0.541391005,1.532373
1863.009,0.544118831,1.523878
1863.209,0.54128687,1.527739
1863.409,0.544986029,1.539709
1863.609,0.54142021,1.528125
1863.809,0.545683654,1.535848
1864.009,0.540803291,1.539709
1864.209,0.545037641,1.535076
1864.409,0.539603856,1.536234
1864.609,0.545298368,1.537392
1864.809,0.539291348,1.535848
1865.009,0.545400328,1.546273
1865.209,0.539110063,1.550907
1865.409,0.544314274,1.556313
1865.609,0.538041015,1.538165
1865.809,0.542718486,1.544343
1866.009,0.536989481,1.550135
1866.209,0.54074735,1.539323
1866.409,0.536052706,1.547818
1866.609,0.537684684,1.550907
1866.809,0.534319687,1.548976
1867.009,0.534793571,1.548204
1867.209,0.532536676,1.554382
1867.409,0.531911788,1.562491
1867.609,0.530331565,1.557857
1867.809,0.529255985,1.565194
1868.009,0.528017086,1.563263
1868.209,0.526449341,1.550521
1868.409,0.52611686,1.551679
1868.609,0.523811781,1.562105
1868.809,0.524973203,1.560946
1869.009,0.522083781,1.562491
1869.209,0.523680229,1.563263
1869.409,0.520153078,1.565966
1869.609,0.522256397,1.556699
1869.809,0.518981028,1.5706
1870.009,0.522012899,1.564035
1870.209,0.51878375,1.573689
1870.409,0.521091873,1.573303
1870.609,0.518177251,1.568283
1870.809,0.519788414,1.566352
1871.009,0.517491728,1.568669
1871.209,0.519831881,1.569055
1871.409,0.518196718,1.579094
1871.609,0.520402706,1.572144
1871.809,0.519610325,1.577164
1872.009,0.521335268,1.578322
1872.209,0.521844524,1.571758
1872.409,0.523358972,1.580639
1872.609,0.524571287,1.576005
1872.809,0.526103041,1.58257
1873.009,0.527288405,1.585659
1873.209,0.528971304,1.574847
1873.409,0.530110519,1.583342
1873.609,0.531822588,1.579481
1873.809,0.533460342,1.581797
1874.009,0.535338266,1.587975
1874.209,0.537116637,1.591451
1874.409,0.538666453,1.58952
1874.609,0.540330113,1.592995
1874.809,0.541420552,1.585273
1875.009,0.543237952,1.587203
1875.209,0.543806005,1.5845
1875.409,0.54607034,1.593767
1875.609,0.545506555,1.59454
1875.809,0.548109845,1.588748
1876.009,0.547281554,1.595312
1876.209,0.549538252,1.593767
1876.409,0.549184709,1.598015
1876.609,0.551002932,1.60651
1876.809,0.550439053,1.612688
1877.009,0.552027159,1.603421
1877.209,0.551070312,1.591065
1877.409,0.552396521,1.596856
1877.609,0.551352486,1.590292
1877.809,0.552244013,1.592223
1878.009,0.551301206,1.598015
1878.209,0.551370786,1.597243
1878.409,0.550547554,1.603035
1878.609,0.549757395,1.604193
1878.809,0.548951478,1.612688
1879.009,0.547827953,1.603421
1879.209,0.547127494,1.604193
1879.409,0.545693948,1.615777
1879.609,0.544598886,1.609985
1879.809,0.543065918,1.601876
1880.009,0.542000327,1.601876
1880.209,0.540555588,1.603807
1880.409,0.539453297,1.601104
1880.609,0.538160255,1.602648
1880.809,0.53709455,1.62041
1881.009,0.535981041,1.615391
1881.209,0.535048073,1.615777
1881.409,0.534400365,1.615005
1881.609,0.534065559,1.616549
1881.809,0.533857438,1.617321
1882.009,0.533881984,1.623499
1882.209,0.534050715,1.621569
1882.409,0.534435574,1.608054
1882.609,0.534978281,1.612688
1882.809,0.535728494,1.611916
1883.009,0.536521185,1.625044
1883.209,0.53752291,1.617321
1883.409,0.538092519,1.627747
1883.609,0.539368486,1.626975
1883.809,0.53922997,1.626588
1884.009,0.540737003,1.629291
1884.209,0.540225704,1.630836
1884.409,0.541720319,1.631608
1884.609,0.540562025,1.63238
1884.809,0.541773726,1.63045
1885.009,0.540618554,1.618866
1885.209,0.541190213,1.623113
1885.409,0.540210836,1.626202
1885.609,0.540079076,1.636242
1885.809,0.539377765,1.634311
1886.009,0.538824479,1.635469
1886.209,0.538407085,1.640875
1886.409,0.53760311,1.634697
1886.609,0.537797071,1.638172
