Date,time_days_from_20190113,ZK204_obs_delta_h_m,ZK204_sim_delta_h_m,ZK204_residual_m,ZK206_obs_delta_h_m,ZK206_sim_delta_h_m,ZK206_residual_m,ZK207_obs_delta_h_m,ZK207_sim_delta_h_m,ZK207_residual_m,ZK401_obs_delta_h_m,ZK401_sim_delta_h_m,ZK401_residual_m,ZK402_obs_delta_h_m,ZK402_sim_delta_h_m,ZK402_residual_m
2019-01-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-23,41.0,-0.22,0.0010558109602243348,0.22105581096022434,-7.08,-0.746475378460218,6.333524621539782,-7.17,-0.8005832567278048,6.369416743272195,2.34,1.1264537945307893,-1.2135462054692105,-0.04,0.8819098634667171,0.9219098634667171
2019-02-28,46.0,0.71,0.0002822236515385157,-0.7097177763484614,-4.87,-1.0281902532401546,3.8418097467598455,-10.17,-1.1035917294830142,9.066408270516986,1.12,1.5577077860025383,0.43770778600253823,0.0,1.2197023053067824,1.2197023053067824
2019-03-07,53.0,-0.83,-0.0031477608590648742,0.8268522391409351,-4.87,-1.0406614649646144,3.8293385350353857,-14.46,-1.11682029307849,13.34317970692151,1.12,1.5751438417219106,0.45514384172191047,-0.05,1.2332904384511494,1.2832904384511494
2019-03-11,57.0,-0.31,-0.006995369268224749,0.30300463073177525,-6.05,-1.1205437113794687,4.929456288620531,-15.57,-1.2024097143203107,14.36759028567969,1.31,1.6956717084149204,0.3856717084149204,-0.08,1.3276966085286404,1.4076966085286404
2019-03-14,60.0,-1.25,-0.01042137306785662,1.2395786269321434,-3.84,-0.9636878438018357,2.876312156198164,-17.64,-1.033986880303928,16.606013119696073,1.18,1.4559814896838361,0.2759814896838362,-0.12,1.1398395465348585,1.2598395465348586
2019-03-18,64.0,-0.31,-0.01609016625025106,0.29390983374974894,-7.08,-1.220109899237741,5.859890100762259,-19.72,-1.3094045865736916,18.410595413426307,2.17,1.8468075728578697,-0.32319242714213026,-0.11,1.445999198201207,1.5559991982012071
2019-03-21,67.0,-0.08,-0.02077321043361735,0.05922678956638265,-3.07,-1.2968670288400972,1.7731329711599026,-22.83,-1.3918119596592078,21.43818804034079,1.25,1.963354840600914,0.713354840600914,-0.07,1.5372724903299968,1.6072724903299969
2019-03-25,71.0,1.02,-0.027493892711845547,-1.0474938927118456,-4.11,-1.3249494149845304,2.78505058501547,-22.83,-1.4219810952736225,21.408018904726376,1.25,2.0056023199031188,0.7556023199031188,-0.07,1.5703074622424538,1.6403074622424538
2019-03-28,74.0,-0.08,-0.03287275332786521,0.04712724667213479,-3.89,-1.3867955559057918,2.5032044440942083,-21.79,-1.4884515515595922,20.301548448440407,1.25,2.0997331789694726,0.8497331789694726,-0.15,1.644009718702364,1.7940097187023638
