well,recommended_type,MaterialID,grid_dim,x,y,z,depth_m,mesh_cell_index,cell_id,bulk_node_id,nearest_node_distance_m,note
SC211,lowres_midpoint,12,3,245387.341,3290785.995,4451.335369149181,275.9644358508185,108880,109527,34705,52.8111819487636,representative midpoint of lowres interval 219.61-324.33 m
ZK204,exact_fault,3,2,246191.0,3290973.0,3818.570342805264,800.3295591947376,20188,20835,10852,22.01185760943396,strict well-fault intersection
ZK206,exact_fault,4,2,246040.0,3290780.0,3913.489790305195,695.2104046948052,4502,5149,2405,11.500277560342909,strict well-fault intersection
ZK206,exact_fault,10,2,246040.0,3290780.0,3863.141703152164,745.5584918478362,1042,1689,2964,11.673155355484296,strict well-fault intersection
ZK207,exact_fault,9,2,245382.0,3290608.0,4672.489040240409,40.11105775959095,7819,8466,5852,17.059552681705462,strict well-fault intersection
ZK207,lowres_midpoint,12,3,245382.0,3290608.0,4475.766835601881,236.83326239811868,191104,191751,5940,32.02316527457138,representative midpoint of lowres interval 184.43-275.14 m
ZK401,exact_fault,5,2,245834.0,3292373.0,4189.05085781576,486.54924018424026,22556,23203,12464,21.926186609554403,strict well-fault intersection
ZK401,exact_fault,3,2,245834.0,3292373.0,4090.51555401361,585.0845439863897,17679,18326,1473,17.769647539094212,strict well-fault intersection
ZK402,exact_fault,7,2,246190.0,3292591.0,4319.711770509142,287.3883274908576,29188,29835,15017,24.937942369769843,strict well-fault intersection
ZK402,lowres_midpoint,12,3,246190.0,3292591.0,4113.650073382179,493.4500246178213,77254,77901,20482,55.11488589447959,representative midpoint of lowres interval 385.62-633.32 m
ZK501,bedrock_midpoint,0,3,245448.0,3293040.0,4490.691178595968,164.70882140403137,77469,78116,33486,27.362983979620346,bedrock/matrix representative point near middle of ZK501 drilled interval; bedrock interval approximately 0.00-317.90 m
