Date,time_days_from_20190113,well,point_label,bulk_node_id,extract_location,extract_id,sim_delta_h_m,obs_delta_h_m,residual_sim_minus_obs_m
2019-01-14,1.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,0.0,0.0,0.0
2019-02-23,41.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-7.346555851282574,-5.25,-2.0965558512825737
2019-02-28,46.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-8.972644339352883,-8.4,-0.5726443393528822
2019-03-07,53.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-9.295842628183891,-12.59,3.294157371816109
2019-03-11,57.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-10.180124674395302,-13.65,3.469875325604699
2019-03-14,60.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-8.875470333041449,-9.45,0.5745296669585507
2019-03-18,64.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-10.882640423713383,-8.4,-2.4826404237133826
2019-03-21,67.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-11.513157821388631,-13.65,2.136842178611369
2019-03-25,71.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-11.708335116404669,-24.58,12.87166488359533
2019-03-28,74.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-12.12078250223476,-24.59,12.46921749776524
2019-04-02,79.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-12.238738270742942,-24.61,12.371261729257057
2019-04-09,86.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-11.82060902448211,-24.55,12.729390975517891
2019-04-17,94.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-12.292463789332032,-8.2,-4.092463789332033
2019-04-23,100.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-12.262426149130988,-29.08,16.81757385086901
2019-04-29,106.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-12.154748006144473,-29.98,17.825251993855527
2019-05-08,115.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-12.293854398462827,-25.75,13.456145601537173
2019-05-16,123.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-12.3164081470577,-26.36,14.0435918529423
2019-05-23,130.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-12.309366248005972,-25.07,12.760633751994028
2019-05-29,136.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-12.309655649847628,-27.29,14.980344350152372
2019-06-05,143.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-12.263111879790813,-26.34,14.076888120209187
2019-06-12,150.0,SC211,SC211 | lowres_midpoint | MID12 | 276.0 m,34705,point,34705,-12.28161472157808,-28.36,16.07838527842192
