Date,time_days,SC211_delta_h_m,ZK204_delta_h_m,ZK207_delta_h_m,ZK206_delta_h_m,ZK401_delta_h_m,ZK402_delta_h_m,ZK501_delta_h_m
2019-01-14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-23,41,-5.25,-0.22,-7.17,-7.08,2.34,-0.04,-2.02
2019-02-28,46,-8.4,0.71,-10.17,-4.87,1.12,0.0,-0.93
2019-03-07,53,-12.59,-0.83,-14.46,-4.87,1.12,-0.05,2.17
2019-03-11,57,-13.65,-0.31,-15.57,-6.05,1.31,-0.08,0.08
2019-03-14,60,-9.45,-1.25,-17.64,-3.84,1.18,-0.12,0.0
2019-03-18,64,-8.4,-0.31,-19.72,-7.08,2.17,-0.11,0.0
2019-03-21,67,-13.65,-0.08,-22.83,-3.07,1.25,-0.07,-2.09
2019-03-25,71,-24.58,1.02,-22.83,-4.11,1.25,-0.07,-1.05
2019-03-28,74,-24.59,-0.08,-21.79,-3.89,1.25,-0.15,-1.05
2019-04-02,79,-24.61,-0.61,-20.76,-1.56,1.25,-0.04,-1.05
2019-04-09,86,-24.55,-1.03,-23.87,-16.2,2.38,-0.1,-1.05
2019-04-17,94,-8.2,1.16,-28.02,-2.61,2.38,-0.17,-0.07
2019-04-23,100,-29.08,2.19,-25.95,-8.66,3.38,-0.13,-1.11
2019-04-29,106,-29.98,0.13,-29.06,-5.23,2.38,-0.17,-2.09
2019-05-08,115,-25.75,2.19,-26.98,-13.99,2.31,-0.18,-3.25
2019-05-16,123,-26.36,2.19,-26.98,-9.11,2.54,0.0,-3.25
2019-05-23,130,-25.07,-0.89,-22.83,-9.11,2.17,-0.2,-3.19
2019-05-29,136,-27.29,0.13,-25.95,-9.48,2.31,-0.13,-7.4
2019-06-05,143,-26.34,0.11,-26.98,-11.58,2.31,-0.23,-7.4
2019-06-12,150,-28.36,0.13,-28.02,-8.66,2.31,-0.23,-7.4
2019-06-19,157,-28.41,0.11,-25.95,-8.17,2.31,-0.12,-4.29
2019-06-27,165,-27.16,0.13,-26.98,-9.94,2.38,-0.15,-2.21
2019-07-02,170,-27.16,-0.89,-28.02,-8.28,2.38,0.15,-2.21
2019-07-05,173,-27.26,-0.89,-28.02,-1.56,2.38,-0.05,-2.21
2019-07-09,177,-25.86,6.3,-28.02,-1.31,2.46,-0.25,-2.21
2019-07-12,180,-27.11,5.28,-28.02,-1.05,2.46,-0.2,-2.27
2019-07-16,184,-24.76,5.28,-28.02,-0.19,2.46,-0.05,-1.28
2019-07-19,187,-24.46,0.13,-28.02,-1.31,2.46,-0.15,-2.32
2019-07-22,190,-24.96,1.16,-28.02,-1.31,2.46,-0.2,-5.41
2019-07-24,192,-23.96,3.22,-27.95,-1.05,2.46,-0.15,-1.23
2019-07-29,197,-25.76,0.13,-27.99,-1.05,2.46,-0.05,-1.23
